birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Bologna, Italy",Right-handed (two-handed backhand),"Errani, Sara",132,http://www.wtatennis.com/players/player/10077/title/sara-errani,ITA,1.64,29-Apr-87,20,20,"Bologna, Italy",25,2505
"Plantation, FL, USA",Right-handed (two-handed backhand),"Stephens, Sloane",135,http://www.wtatennis.com/players/player/14824/title/sloane-stephens,USA,1.7,20-Mar-93,21,21,"Coral Springs, FL, USA",20,2310
"Sydney, Australia",Right-handed (two-handed backhand),"Konta, Johanna",154,http://www.wtatennis.com/players/player/13120/title/johanna-konta,GBR,1.8,17-May-91,22,22,"Eastbourne, England",20,2213
"Belgrade, Serbia",Right-handed (two-handed backhand),"Jankovic, Jelena",130,http://www.wtatennis.com/players/player/3932/title/jelena-jankovic,SRB,1.77,28-Feb-85,23,23,"Dubai, UAE",25,1975
"Rock Island, IL, USA",Right-handed (two-handed backhand),"Keys, Madison",145,http://www.wtatennis.com/players/player/16049/title/madison-keys,USA,1.78,17-Feb-95,24,25,"Boca Raton, FL, USA",17,1906
"Brisbane, Australia",Right-handed (two-handed backhand),"Stosur, Samantha",150,http://www.wtatennis.com/players/player/7941/title/samantha-stosur,AUS,1.75,30-Mar-84,25,26,"Gold Coast, Australia",22,1870
"Samara, Russia",Right-handed (two-handed backhand),"Pavlyuchenkova, Anastasia",159,http://www.wtatennis.com/players/player/13013/title/anastasia-pavlyuchenkova,RUS,1.77,03-Jul-91,26,27,"Moscow, Russia",24,1840
"Saint Pol sur Mer, France",Right-handed (two-handed backhand),"Mladenovic, Kristina",132,http://www.wtatennis.com/players/player/14760/title/kristina-mladenovic,FRA,1.84,14-May-93,27,28,"Dubai, UAE",28,1725
"Odense, Denmark",Right-handed (two-handed backhand),"Wozniacki, Caroline",139,http://www.wtatennis.com/players/player/12631/title/caroline-wozniacki,DEN,1.77,11-Jul-90,28,24,"Monte Carlo, Monaco",22,1671
"Tuzla, Bosnia",Right-handed (two-handed backhand),"Petkovic, Andrea",152,http://www.wtatennis.com/players/player/10087/title/andrea-petkovic,GER,1.8,09-Sep-87,29,30,"Darmstadt, Germany",24,1600
"Moscow, Russia",Left-handed (two-handed backhand),"Makarova, Ekaterina",143,http://www.wtatennis.com/players/player/10895/title/ekaterina-makarova,RUS,1.8,07-Jun-88,30,29,"Moscow, Russia",17,1513
"Slatina, Romania",Right-handed (two-handed both sides),"Niculescu, Monica",139,http://www.wtatennis.com/players/player/10091/title/monica-niculescu,ROU,1.68,25-Sep-87,31,31,"Bucharest, Romania",26,1495
"Togliatty, Russia",Right-handed (two-handed backhand),"Kasatkina, Daria",137,http://www.wtatennis.com/players/player/23204/title/daria-kasatkina,RUS,1.7,07-May-97,32,32,"Togliatty, Russia",22,1454
"Plzen, Czech Republic",Right-handed (two-handed backhand),"Strycova, Barbora",132 1/2,http://www.wtatennis.com/players/player/8035/title/barbora-strycova,CZE,1.64,28-Mar-86,33,33,"Plzen, Czech Republic",25,1440
"Kosice, Slovakia",Right-handed (two-handed backhand),"Schmiedlova, Anna Karolina",139,http://www.wtatennis.com/players/player/17704/title/anna-karolina-schmiedlova,SVK,1.76,13-Sep-94,34,34,"Bratislava, Slovakia",25,1440
"Bucharest, Romania",Right-handed (two-handed backhand),"Begu, Irina-Camelia",148,http://www.wtatennis.com/players/player/12402/title/irina-camelia-begu,ROU,1.81,26-Aug-90,35,35,"Bucharest, Romania",22,1410
"New York City, NY, USA",Right-handed (two-handed backhand),"Vandeweghe, Coco",155,http://www.wtatennis.com/players/player/13656/title/coco-vandeweghe,USA,1.85,06-Dec-91,36,36,"Rancho Santa Fe, CA, USA",23,1326
"Riga, Latvia",Right-handed (two-handed backhand),"Ostapenko, Jelena",150,http://www.wtatennis.com/players/player/20365/title/jelena-ostapenko,LAT,1.77,08-Jun-97,37,37,"Riga, Latvia",25,1314
"Bratislava, Slovakia",Right-handed (two-handed backhand),"Cibulkova, Dominika",121,http://www.wtatennis.com/players/player/12135/title/dominika-cibulkova,SVK,1.61,06-May-89,38,38,"Bratislava, Slovakia",23,1301
"Moscow, Russia",Right-handed (two-handed backhand),"Gavrilova, Daria",134,http://www.wtatennis.com/players/player/15057/title/daria-gavrilova,AUS,1.66,05-Mar-94,39,39,"Melbourne, Australia",23,1295
"Sopron, Hungary",Right-handed (two-handed backhand),"Babos, Timea",150,http://www.wtatennis.com/players/player/16153/title/timea-babos,HUN,1.79,10-May-93,40,40,"Sopron, Hungary",30,1265
"Giessen, Germany",Right-handed (two-handed backhand),"Beck, Annika",130,http://www.wtatennis.com/players/player/16073/title/annika-beck,GER,1.7,16-Feb-94,41,41,"Bonn, Germany",29,1248
"Filderstadt, Germany",Right-handed (two-handed backhand),"Siegemund, Laura",137,http://www.wtatennis.com/players/player/10252/title/laura-siegemund,GER,1.68,04-Mar-88,42,71,"Stuttgart, Germany",21,1226
"Lier, Belgium",Right-handed (two-handed backhand),"Wickmayer, Yanina",150,http://www.wtatennis.com/players/player/11787/title/yanina-wickmayer,BEL,1.82,20-Oct-89,43,42,"Hasselt, Belgium",27,1195
"Vladimirec, Ukraine",Right-handed (two-handed backhand),"Tsurenko, Lesia",148,http://www.wtatennis.com/players/player/14447/title/lesia-tsurenko,UKR,1.74,30-May-89,44,43,"Kiev, Ukraine",23,1194
"Yokohama, Japan",Left-handed (two-handed backhand),"Doi, Misaki",121,http://www.wtatennis.com/players/player/13434/title/misaki-doi,JPN,1.59,29-Apr-91,45,44,"Tokyo, Japan",28,1188
"Montréal, Canada",Right-handed (two-handed backhand),"Bouchard, Eugenie",134,http://www.wtatennis.com/players/player/15218/title/eugenie-bouchard,CAN,1.78,25-Feb-94,46,46,"Miami Beach, FL, USA",21,1170
"Cetinje, Montenegro",Right-handed (two-handed backhand),"Kovinic, Danka",148,http://www.wtatennis.com/players/player/16952/title/danka-kovinic,MNE,1.69,18-Nov-94,47,60,"Herceg Novi, Montenegro",26,1158
"Moscow, Russia",Right-handed (one-handed backhand),"Gasparyan, Margarita",161,http://www.wtatennis.com/players/player/17390/title/margarita-gasparyan,RUS,1.83,01-Sep-94,48,47,"Moscow, Russia",19,1157
"Nice, France",Right-handed (two-handed backhand),"Cornet, Alizé",139,http://www.wtatennis.com/players/player/11402/title/alize-cornet,FRA,1.73,22-Jan-90,49,48,"Nice, France",25,1145
"Macerata, Italy",Right-handed (two-handed backhand),"Giorgi, Camila",119,http://www.wtatennis.com/players/player/13793/title/camila-giorgi,ITA,1.68,30-Dec-91,50,49,France,23,1145
"Saint-Germain-en-Laye, France",Right-handed (two-handed backhand),"Garcia, Caroline",134,http://www.wtatennis.com/players/player/14542/title/caroline-garcia,FRA,1.77,16-Oct-93,51,45,"Lyon, France",25,1135
"Troisdorf, Germany",Right-handed (two-handed backhand),"Lisicki, Sabine",154,http://www.wtatennis.com/players/player/11771/title/sabine-lisicki,GER,1.78,22-Sep-89,52,50,"Bradenton, FL, USA",19,1126
"Neuwied, Germany",Right-handed (two-handed backhand),"Friedsam, Anna-Lena",150,http://www.wtatennis.com/players/player/19065/title/anna-lena-friedsam,GER,1.74,01-Feb-94,53,52,"Oberduerenbach, Germany",25,1119
"Lvov, Ukraine",Right-handed (two-handed backhand),"Vesnina, Elena",143,http://www.wtatennis.com/players/player/10548/title/elena-vesnina,RUS,1.76,01-Aug-86,54,51,"Sochi, Russia",23,1104
"Moscow, Russia",Right-handed (two-handed backhand),"Putintseva, Yulia",130,http://www.wtatennis.com/players/player/16953/title/yulia-putintseva,KAZ,1.63,07-Jan-95,55,53,"Moscow, Russia",28,1073
Guernsey,Right-handed (two-handed backhand),"Watson, Heather",138,http://www.wtatennis.com/players/player/16047/title/heather-watson,GBR,1.7,19-May-92,56,55,"Guernsey & Bradenton, FL, USA",23,1041
"Bad Oldesloe, Germany",Right-handed (two-handed backhand),"Goerges, Julia",154,http://www.wtatennis.com/players/player/12610/title/julia-goerges,GER,,02-Nov-88,57,57,"Bad Oldesloe & Regensburg, Germany",22,1040
"Geel, Belgium",Right-handed (two-handed backhand),"Flipkens, Kirsten",121,http://www.wtatennis.com/players/player/9680/title/kirsten-flipkens,BEL,1.65,10-Jan-86,58,58,"Mol, Belgium",24,1025
"Teaneck, NJ, USA",Right-handed (two-handed backhand),"McHale, Christina",137,http://www.wtatennis.com/players/player/14078/title/christina-mchale,USA,1.7,11-May-92,59,56,"Englewood Cliffs, NJ, USA",28,1020
"Prague, Czech Republic",Right-handed (two-handed backhand),"Allertova, Denisa",143,http://www.wtatennis.com/players/player/15601/title/denisa-allertova,CZE,1.8,07-Mar-93,60,59,"Prague, Czech Republic",19,1014
"Aichi, Japan",Right-handed (two-handed backhand),"Hibino, Nao",,http://www.wtatennis.com/players/player/20862/title/nao-hibino,JPN,,28-Nov-94,61,65,"Aichi, Japan",31,1010
"Tianjin, China",Right-handed (two-handed backhand),"Zhang, Shuai",143,http://www.wtatennis.com/players/player/11069/title/shuai-zhang,CHN,1.77,21-Jan-89,62,61,"Tianjin, China",26,993
"San Juan, Puerto Rico",Right-handed (two-handed backhand),"Puig, Monica",140,http://www.wtatennis.com/players/player/17033/title/monica-puig,PUR,1.7,27-Sep-93,63,62,"Miami, FL, USA",25,990
"Shaanxi, China",Right-handed (two-handed backhand),"Zheng, Saisai",137,http://www.wtatennis.com/players/player/15339/title/saisai-zheng,CHN,1.7,05-Feb-94,64,63,"Guangzhou, China",29,990
"Tashkent, Uzbekistan",Left-handed (two-handed backhand),"Lepchenko, Varvara",159,http://www.wtatennis.com/players/player/4939/title/varvara-lepchenko,USA,1.8,21-May-86,65,64,"Allentown, PA, USA",23,982
"Kryvyi Rig, Ukraine",Right-handed (two-handed backhand),"Bondarenko, Kateryna",132,http://www.wtatennis.com/players/player/1078/title/kateryna-bondarenko,UKR,1.75,08-Aug-86,66,66,"Kiev, Ukraine",26,973
"Portoviejo, Ecuador",Right-handed (two-handed backhand),"Falconi, Irina",135,http://www.wtatennis.com/players/player/13733/title/irina-falconi,USA,1.63,04-May-90,67,67,"West Palm Beach, FL, USA",29,965
"Bad Segeberg, Germany",Right-handed (two-handed backhand),"Barthel, Mona",152,http://www.wtatennis.com/players/player/14516/title/mona-barthel,GER,1.85,11-Jul-90,68,68,"Neumünster, Germany",24,965
"Boden, Sweden",Right-handed (two-handed backhand),"Larsson, Johanna",146,http://www.wtatennis.com/players/player/10884/title/johanna-larsson,SWE,1.74,17-Aug-88,69,69,"Helsingborg, Sweden",25,963
"Vilvoorde, Belgium",Right-handed (two-handed backhand),"Van Uytvanck, Alison",139,http://www.wtatennis.com/players/player/17132/title/alison-van-uytvanck,BEL,1.73,26-Mar-94,70,70,"Grimbergen, Belgium",21,934
"Dover, Delaware, USA",Right-handed (two-handed backhand),"Brengle, Madison",130,http://www.wtatennis.com/players/player/16024/title/madison-brengle,USA,1.68,03-Apr-90,71,54,"Dover, Delaware, USA",28,930
"Brunico, Italy",Right-handed (two-handed backhand),"Knapp, Karin",159,http://www.wtatennis.com/players/player/10617/title/karin-knapp,ITA,1.8,28-Jun-87,72,72,"Lutago, Italy",18,898
"Piestany, Slovakia",Right-handed (two-handed backhand),"Rybarikova, Magdalena",143,http://www.wtatennis.com/players/player/11827/title/magdalena-rybarikova,SVK,1.8,04-Oct-88,73,73,"Bratislava, Slovakia",22,890
"Cincinnati, OH, USA",Right-handed (two-handed backhand),"Gibbs, Nicole",,http://www.wtatennis.com/players/player/14431/title/nicole-gibbs,USA,1.68,03-Mar-93,74,74,"Santa Monica, CA, USA",27,889
"Dortmund, Germany",Right-handed (two-handed backhand),"Lucic-Baroni, Mirjana",145,http://www.wtatennis.com/players/player/4838/title/mirjana-lucic-baroni,CRO,1.81,09-Mar-82,75,75,"Sarasota, FL, USA",26,885
"San Sebastián, Spain",Right-handed (two-handed backhand),"Arruabarrena, Lara",128,http://www.wtatennis.com/players/player/14448/title/lara-arruabarrena,ESP,1.66,20-Mar-92,76,76,"Barcelona, Spain",25,868
"Dubrovnik, Croatia",Right-handed (two-handed backhand),"Konjuh, Ana",143,http://www.wtatennis.com/players/player/21432/title/ana-konjuh,CRO,1.74,27-Dec-97,77,77,"Dubai, UAE",20,844
"Kaohsiung, Chinese Taipei",Right-handed (two-handed both sides),"Hsieh, Su-Wei",126,http://www.wtatennis.com/players/player/9419/title/su-wei-hsieh,TPE,1.69,04-Jan-86,78,81,"Taipei, Chinese Taipei",24,825
"Tianjin, China",Right-handed (two-handed backhand),"Wang, Qiang",132,http://www.wtatennis.com/players/player/13622/title/qiang-wang,CHN,1.72,14-Jan-92,79,79,"Tianjin, China",30,824
"Stockport, England",Right-handed (one-handed backhand),"Broady, Naomi",163,http://www.wtatennis.com/players/player/13152/title/naomi-broady,GBR,1.89,28-Feb-90,80,80,"Stockport, England",32,824
"Tallinn, Estonia",Right-handed (two-handed backhand),"Kontaveit, Anett",143,http://www.wtatennis.com/players/player/17980/title/anett-kontaveit,EST,1.74,24-Dec-95,81,78,"Tallinn, Estonia",21,816
"Adana, Turkey",Right-handed (two-handed backhand),"Buyukakcay, Cagla",128,http://www.wtatennis.com/players/player/11570/title/cagla-buyukakcay,TUR,1.72,28-Sep-89,82,118,"Istanbul, Turkey",32,794
"Osaka, Japan",Right-handed (two-handed backhand),"Nara, Kurumi",117,http://www.wtatennis.com/players/player/13540/title/kurumi-nara,JPN,1.55,30-Dec-91,83,84,"Hyogo, Japan",30,780
"Santana do Ipanema, Brazil",Right-handed (two-handed backhand),"Pereira, Teliana",137,http://www.wtatennis.com/players/player/10937/title/teliana-pereira,BRA,1.68,20-Jul-88,84,86,"Curitiba, Brazil",23,770
"Hamburg, Germany",Right-handed (two-handed backhand),"Witthoeft, Carina",150,http://www.wtatennis.com/players/player/16685/title/carina-witthoeft,GER,1.76,16-Feb-95,85,82,"Hamburg, Germany",32,760
"Liepaja, Latvia",Right-handed (two-handed backhand),"Sevastova, Anastasija",143,http://www.wtatennis.com/players/player/13196/title/anastasija-sevastova,LAT,1.69,13-Apr-90,86,96,"Vienna, Austria",26,760
"Rochester, MN, USA",Right-handed (two-handed backhand),"Mattek-Sands, Bethanie",145,http://www.wtatennis.com/players/player/5667/title/bethanie-mattek-sands,USA,1.68,23-Mar-85,87,83,"Phoenix, AZ, USA",17,758
"Moscow, Russia",Right-handed (two-handed backhand),"Shvedova, Yaroslava",154,http://www.wtatennis.com/players/player/10462/title/yaroslava-shvedova,KAZ,1.8,12-Sep-87,88,87,"Astana, Kazakhstan",24,754
"Milan, Italy",Right-handed (one-handed backhand),"Schiavone, Francesca",132,http://www.wtatennis.com/players/player/7820/title/francesca-schiavone,ITA,1.66,23-Jun-80,89,88,"Milan, Italy",24,750
"Pittsburgh, PA, USA",Right-handed (two-handed backhand),"Riske, Alison",145,http://www.wtatennis.com/players/player/12091/title/alison-riske,USA,1.75,03-Jul-90,90,89,"Nashville, TN, USA",27,747
"Maribor, Slovenia",Right-handed (two-handed backhand),"Hercog, Polona",154,http://www.wtatennis.com/players/player/13179/title/polona-hercog,SLO,1.82,20-Jan-91,91,91,"Monaco, Monaco",27,730
"Osaka, Japan",Right-handed (two-handed backhand),"Osaka, Naomi",152,http://www.wtatennis.com/players/player/20431/title/naomi-osaka,JPN,1.8,16-Oct-97,92,92,,21,723
"Plovdiv, Bulgaria",Right-handed (two-handed backhand),"Pironkova, Tsvetana",143,http://www.wtatennis.com/players/player/10365/title/tsvetana-pironkova,BUL,1.8,13-Sep-87,93,97,"Plovdiv, Bulgaria",23,717
"Almaty, Kazakhstan",Right-handed (two-handed backhand),"Diyas, Zarina",141,http://www.wtatennis.com/players/player/14837/title/zarina-diyas,KAZ,1.72,18-Oct-93,94,85,"Almaty, Kazakhstan",27,716
"Osijek, Croatia",Right-handed (two-handed backhand),"Vekic, Donna",141,http://www.wtatennis.com/players/player/18104/title/donna-vekic,CRO,1.79,28-Jun-96,95,93,"Monte Carlo, Monaco",29,716
"Louny, Czech Republic",Left-handed (two-handed backhand),"Pliskova, Kristyna",161,http://www.wtatennis.com/players/player/13185/title/kristyna-pliskova,CZE,1.84,21-Mar-92,96,90,"Prague, Czech Republic",28,711
"Wateringen, Netherlands",Right-handed (two-handed backhand),"Bertens, Kiki",163,http://www.wtatennis.com/players/player/13772/title/kiki-bertens,NED,1.82,10-Dec-91,97,94,"Wateringen, Netherlands",26,711
"Bucharest, Romania",Right-handed (two-handed backhand),"Dulgheru, Alexandra",134,http://www.wtatennis.com/players/player/11957/title/alexandra-dulgheru,ROU,1.72,30-May-89,98,95,"Bucharest, Romania",23,710
"Minsk, Belarus",Right-handed (two-handed backhand),"Sasnovich, Aliaksandra",132,http://www.wtatennis.com/players/player/17071/title/aliaksandra-sasnovich,BLR,1.74,22-Mar-94,99,99,"Minsk, Belarus",26,697
"Bogotá, Colombia",Right-handed (two-handed backhand),"Duque-Mariño, Mariana",137,http://www.wtatennis.com/players/player/11819/title/mariana-duque-marino,COL,1.69,12-Aug-89,100,100,"Bogotá, Colombia",25,694
"Pinsk, Belarus",Right-handed (two-handed backhand),"Govortsova, Olga",148,http://www.wtatennis.com/players/player/10569/title/olga-govortsova,BLR,1.82,23-Aug-88,101,98,"Minsk, Belarus",21,692
"Cucq, France",Right-handed (two-handed backhand),"Parmentier, Pauline",135,http://www.wtatennis.com/players/player/6673/title/pauline-parmentier,FRA,1.75,31-Jan-86,102,101,"Paris, France",28,691
"Belgrade, Serbia",Right-handed (two-handed backhand),"Jovanovski, Bojana",143,http://www.wtatennis.com/players/player/13564/title/bojana-jovanovski,SRB,1.75,31-Dec-91,103,102,"Belgrade, Serbia",23,687
"Poznan, Poland",Right-handed (two-handed backhand),"Linette, Magda",130,http://www.wtatennis.com/players/player/14283/title/magda-linette,POL,1.71,12-Feb-92,104,103,"Poznan, Poland",27,687
"Leuggern, Switzerland",Right-handed (two-handed backhand),"Voegele, Stefanie",132,http://www.wtatennis.com/players/player/11598/title/stefanie-voegele,SUI,1.7,10-Mar-90,105,116,"Leuggern, Switzerland",34,645
"Atlanta, GA, USA",Right-handed (two-handed backhand),"Crawford, Samantha",170,http://www.wtatennis.com/players/player/19250/title/samantha-crawford,USA,1.88,18-Feb-95,106,104,"Tamarac, FL, USA",32,645
"Bad Saulgau, Germany",Right-handed (one-handed backhand),"Maria, Tatjana",137,http://www.wtatennis.com/players/player/9762/title/tatjana-maria,GER,1.72,08-Aug-87,107,105,"Palm Beach, FL, USA",32,639
"Zagreb, Croatia",Right-handed (two-handed backhand),"Tomljanovic, Ajla",148,http://www.wtatennis.com/players/player/14384/title/ajla-tomljanovic,CRO,1.8,07-May-93,108,106,"Brisbane, Australia",19,619
"Mount Pleasant, SC, USA",Right-handed (two-handed backhand),"Rogers, Shelby",155,http://www.wtatennis.com/players/player/16573/title/shelby-rogers,USA,1.75,13-Oct-92,109,107,"Charleston, SC, USA",21,609
"Bucharest, Romania",Right-handed (two-handed backhand),"Mitu, Andreea",132,http://www.wtatennis.com/players/player/13255/title/andreea-mitu,ROU,1.75,22-Sep-91,110,113,"Bucharest, Romania",28,605
"Pontevedra, Spain",Right-handed (one-handed backhand),"Domínguez Lino, Lourdes",133,http://www.wtatennis.com/players/player/2029/title/lourdes-dominguez-lino,ESP,1.63,31-Mar-81,111,108,"Barcelona, Spain",26,602
"Gates Mills, OH, USA",Right-handed (two-handed backhand),"Davis, Lauren",121,http://www.wtatennis.com/players/player/16533/title/lauren-davis,USA,1.57,09-Oct-93,112,109,"Boca Raton, FL, USA",27,597
"Hradec Kralove, Czech Republic",Right-handed (two-handed backhand),"Siniakova, Katerina",152,http://www.wtatennis.com/players/player/20904/title/katerina-siniakova,CZE,1.74,10-May-96,113,110,"Hradec Kralove, Czech Republic",25,591
"Novosibirsk, Russia",Right-handed (two-handed backhand),"Kulichkova, Elizaveta",121,http://www.wtatennis.com/players/player/19754/title/elizaveta-kulichkova,RUS,179.5,12-Apr-96,114,111,"Pattaya City, Thailand",27,584
"Prague, Czech Republic",Right-handed (two-handed both sides),"Hradecka, Lucie",159,http://www.wtatennis.com/players/player/10157/title/lucie-hradecka,CZE,1.77,21-May-85,115,112,"Prague, Czech Republic",23,578
"Tbilisi, Georgia",Right-handed (two-handed backhand),"Tatishvili, Anna",137,http://www.wtatennis.com/players/player/12202/title/anna-tatishvili,USA,1.71,03-Feb-90,116,114,"Boca Raton, FL, USA",35,575
"Nikolayev, Ukraine",Right-handed (two-handed backhand),"Kozlova, Kateryna",137,http://www.wtatennis.com/players/player/15789/title/kateryna-kozlova,UKR,1.75,20-Feb-94,117,129,"Moscow, Russia",19,566
"Athens, Greece",Right-handed (two-handed backhand),"Sakkari, Maria",137,http://www.wtatennis.com/players/player/17826/title/maria-sakkari,GRE,1.72,25-Jul-95,118,127,"Athens, Greece",31,543
"Moscow, Russia",Right-handed (two-handed backhand),"Rodina, Evgeniya",132,http://www.wtatennis.com/players/player/11831/title/evgeniya-rodina,RUS,1.7,04-Feb-89,119,115,"Moscow, Russia",31,537
"Prague, Czech Republic",Right-handed (two-handed backhand),"Koukalova, Klara",121,http://www.wtatennis.com/players/player/4407/title/klara-koukalova,CZE,1.66,24-Feb-82,120,117,"Prague, Czech Republic",28,531
,,"Peterson, Rebecca",,http://www.wtatennis.com/players/player/17049/title/rebecca-peterson,SWE,,06-Aug-95,121,131,,27,530
"Jin Zhou, China",Left-handed (two-handed backhand),"Han, Xinyun",154,http://www.wtatennis.com/players/player/11882/title/xinyun-han,CHN,1.72,30-May-90,122,119,"Hang Zhou, China",30,513
"Moscow, Russia",Right-handed (two-handed backhand),"Krunic, Aleksandra",117,http://www.wtatennis.com/players/player/15395/title/aleksandra-krunic,SRB,1.63,15-Mar-93,123,120,"Belgrade, Serbia",25,511
"Dornbirn, Austria",Right-handed (two-handed backhand),"Paszek, Tamira",132,http://www.wtatennis.com/players/player/12273/title/tamira-paszek,AUT,1.65,06-Dec-90,124,122,"Dornbirn, Austria",30,505
"Bratislava, Slovakia",Right-handed (two-handed both sides),"Kucova, Kristina",130,http://www.wtatennis.com/players/player/11919/title/kristina-kucova,SVK,1.63,23-May-90,125,137,"Bratislava, Slovakia",26,498
"Tianjin, China",Right-handed (two-handed backhand),"Duan, Ying-Ying",185,http://www.wtatennis.com/players/player/13684/title/ying-ying-duan,CHN,1.86,03-Jul-89,126,123,"Tianjin, China",25,494
"Elche, Spain",Right-handed (two-handed backhand),"Soler-Espinosa, Sílvia",134,http://www.wtatennis.com/players/player/10789/title/silvia-soler-espinosa,ESP,1.69,19-Nov-87,127,124,"Elche, Spain",28,493
"Kosice, Slovakia",Right-handed (two-handed backhand),"Cepelova, Jana",132,http://www.wtatennis.com/players/player/15824/title/jana-cepelova,SVK,1.68,29-May-93,128,125,"Kosice, Slovakia",26,491
,,"Ozaki, Risa",,http://www.wtatennis.com/players/player/18332/title/risa-ozaki,JPN,,10-Apr-94,129,126,,29,489
"Ahaus, Germany",Right-handed (two-handed backhand),"Radwanska, Urszula",126,http://www.wtatennis.com/players/player/12364/title/urszula-radwanska,POL,1.77,07-Dec-90,130,128,"Krakow, Poland",20,467
"Bucharest, Romania",Right-handed (two-handed backhand),"Cirstea, Sorana",130,http://www.wtatennis.com/players/player/11720/title/sorana-cirstea,ROU,1.76,07-Apr-90,131,138,"Targoviste, Romania",20,466
"Zürich, Switzerland",Right-handed,"Golubic, Viktorija",141,http://www.wtatennis.com/players/player/15349/title/viktorija-golubic,SUI,1.69,16-Oct-92,132,130,"Zürich, Switzerland",24,458
