"","gender","current_rank","previous_rank","name","plays","height","weight","date_of_birth","country","birthplace","residence","tournaments","points","url"
"11","female",11,11,"Suárez Navarro, Carla","Right",162,137,"1988-09-03","ESP","Las Palmas de Gran Canaria, Spain","Barcelona, Spain",24,3160,"http://www.wtatennis.com/players/player/10661/title/carla-suarez-navarro"
"12","female",12,12,"Pennetta, Flavia","Right",172,128,"1982-02-25","ITA","Brindisi, Italy","Brindisi, Italy",17,3033,"http://www.wtatennis.com/players/player/6578/title/flavia-pennetta"
"13","female",13,13,"Kuznetsova, Svetlana","Right",174,161,"1985-06-27","RUS","St. Petersburg, Russia","Dubai, UAE",20,3010,"http://www.wtatennis.com/players/player/4467/title/svetlana-kuznetsova"
"14","female",14,14,"Williams, Venus","Right",185,160,"1980-06-17","USA","Lynwood, CA, USA","Palm Beach Gardens, FL, USA",18,2941,"http://www.wtatennis.com/players/player/9027/title/venus-williams"
"15","female",15,16,"Bacsinszky, Timea","Right",170,137,"1989-06-08","SUI","Lausanne, Switzerland","Belmont-sur-Lausanne, Switzerland",17,2735,"http://www.wtatennis.com/players/player/10874/title/timea-bacsinszky"
"16","female",16,15,"Safarova, Lucie","Left",177,137,"1987-02-04","CZE","Brno, Czech Republic","Monte Carlo, Monaco",20,2714,"http://www.wtatennis.com/players/player/9869/title/lucie-safarova"
"17","female",17,17,"Svitolina, Elina","Right",174,132,"1994-09-12","UKR","Odessa, Ukraine","Kharkiv, Ukraine",26,2700,"http://www.wtatennis.com/players/player/15788/title/elina-svitolina"
"18","female",18,18,"Pliskova, Karolina","Right",186,159,"1992-03-21","CZE","Louny, Czech Republic","Monte Carlo, Monaco",25,2590,"http://www.wtatennis.com/players/player/13184/title/karolina-pliskova"
"19","female",19,19,"Ivanovic, Ana","Right",184,152,"1987-11-06","SRB","Belgrade, Serbia","Bern, Switzerland",20,2585,"http://www.wtatennis.com/players/player/10999/title/ana-ivanovic"
"20","female",20,20,"Errani, Sara","Right",164,132,"1987-04-29","ITA","Bologna, Italy","Bologna, Italy",25,2505,"http://www.wtatennis.com/players/player/10077/title/sara-errani"
"21","female",21,21,"Stephens, Sloane","Right",170,135,"1993-03-20","USA","Plantation, FL, USA","Coral Springs, FL, USA",20,2310,"http://www.wtatennis.com/players/player/14824/title/sloane-stephens"
"22","female",22,22,"Konta, Johanna","Right",180,154,"1991-05-17","GBR","Sydney, Australia","Eastbourne, England",20,2213,"http://www.wtatennis.com/players/player/13120/title/johanna-konta"
"23","female",23,23,"Jankovic, Jelena","Right",177,130,"1985-02-28","SRB","Belgrade, Serbia","Dubai, UAE",25,1975,"http://www.wtatennis.com/players/player/3932/title/jelena-jankovic"
"24","female",24,25,"Keys, Madison","Right",178,145,"1995-02-17","USA","Rock Island, IL, USA","Boca Raton, FL, USA",17,1906,"http://www.wtatennis.com/players/player/16049/title/madison-keys"
"25","female",25,26,"Stosur, Samantha","Right",175,150,"1984-03-30","AUS","Brisbane, Australia","Gold Coast, Australia",22,1870,"http://www.wtatennis.com/players/player/7941/title/samantha-stosur"
"26","female",26,27,"Pavlyuchenkova, Anastasia","Right",177,159,"1991-07-03","RUS","Samara, Russia","Moscow, Russia",24,1840,"http://www.wtatennis.com/players/player/13013/title/anastasia-pavlyuchenkova"
"27","female",27,28,"Mladenovic, Kristina","Right",184,132,"1993-05-14","FRA","Saint Pol sur Mer, France","Dubai, UAE",28,1725,"http://www.wtatennis.com/players/player/14760/title/kristina-mladenovic"
"28","female",28,24,"Wozniacki, Caroline","Right",177,139,"1990-07-11","DEN","Odense, Denmark","Monte Carlo, Monaco",22,1671,"http://www.wtatennis.com/players/player/12631/title/caroline-wozniacki"
"29","female",29,30,"Petkovic, Andrea","Right",180,152,"1987-09-09","GER","Tuzla, Bosnia","Darmstadt, Germany",24,1600,"http://www.wtatennis.com/players/player/10087/title/andrea-petkovic"
"30","female",30,29,"Makarova, Ekaterina","Left",180,143,"1988-06-07","RUS","Moscow, Russia","Moscow, Russia",17,1513,"http://www.wtatennis.com/players/player/10895/title/ekaterina-makarova"
"31","female",31,31,"Niculescu, Monica","Right",168,139,"1987-09-25","ROU","Slatina, Romania","Bucharest, Romania",26,1495,"http://www.wtatennis.com/players/player/10091/title/monica-niculescu"
"32","female",32,32,"Kasatkina, Daria","Right",170,137,"1997-05-07","RUS","Togliatty, Russia","Togliatty, Russia",22,1454,"http://www.wtatennis.com/players/player/23204/title/daria-kasatkina"
"33","female",33,33,"Strycova, Barbora","Right",164,132.5,"1986-03-28","CZE","Plzen, Czech Republic","Plzen, Czech Republic",25,1440,"http://www.wtatennis.com/players/player/8035/title/barbora-strycova"
"34","female",34,34,"Schmiedlova, Anna Karolina","Right",176,139,"1994-09-13","SVK","Kosice, Slovakia","Bratislava, Slovakia",25,1440,"http://www.wtatennis.com/players/player/17704/title/anna-karolina-schmiedlova"
"35","female",35,35,"Begu, Irina-Camelia","Right",181,148,"1990-08-26","ROU","Bucharest, Romania","Bucharest, Romania",22,1410,"http://www.wtatennis.com/players/player/12402/title/irina-camelia-begu"
"36","female",36,36,"Vandeweghe, Coco","Right",185,155,"1991-12-06","USA","New York City, NY, USA","Rancho Santa Fe, CA, USA",23,1326,"http://www.wtatennis.com/players/player/13656/title/coco-vandeweghe"
"37","female",37,37,"Ostapenko, Jelena","Right",177,150,"1997-06-08","LAT","Riga, Latvia","Riga, Latvia",25,1314,"http://www.wtatennis.com/players/player/20365/title/jelena-ostapenko"
"38","female",38,38,"Cibulkova, Dominika","Right",161,121,"1989-05-06","SVK","Bratislava, Slovakia","Bratislava, Slovakia",23,1301,"http://www.wtatennis.com/players/player/12135/title/dominika-cibulkova"
"39","female",39,39,"Gavrilova, Daria","Right",166,134,"1994-03-05","AUS","Moscow, Russia","Melbourne, Australia",23,1295,"http://www.wtatennis.com/players/player/15057/title/daria-gavrilova"
"40","female",40,40,"Babos, Timea","Right",179,150,"1993-05-10","HUN","Sopron, Hungary","Sopron, Hungary",30,1265,"http://www.wtatennis.com/players/player/16153/title/timea-babos"
"41","female",41,41,"Beck, Annika","Right",170,130,"1994-02-16","GER","Giessen, Germany","Bonn, Germany",29,1248,"http://www.wtatennis.com/players/player/16073/title/annika-beck"
"42","female",42,71,"Siegemund, Laura","Right",168,137,"1988-03-04","GER","Filderstadt, Germany","Stuttgart, Germany",21,1226,"http://www.wtatennis.com/players/player/10252/title/laura-siegemund"
"43","female",43,42,"Wickmayer, Yanina","Right",182,150,"1989-10-20","BEL","Lier, Belgium","Hasselt, Belgium",27,1195,"http://www.wtatennis.com/players/player/11787/title/yanina-wickmayer"
"44","female",44,43,"Tsurenko, Lesia","Right",174,148,"1989-05-30","UKR","Vladimirec, Ukraine","Kiev, Ukraine",23,1194,"http://www.wtatennis.com/players/player/14447/title/lesia-tsurenko"
"45","female",45,44,"Doi, Misaki","Left",159,121,"1991-04-29","JPN","Yokohama, Japan","Tokyo, Japan",28,1188,"http://www.wtatennis.com/players/player/13434/title/misaki-doi"
"46","female",46,46,"Bouchard, Eugenie","Right",178,134,"1994-02-25","CAN","Montréal, Canada","Miami Beach, FL, USA",21,1170,"http://www.wtatennis.com/players/player/15218/title/eugenie-bouchard"
"47","female",47,60,"Kovinic, Danka","Right",169,148,"1994-11-18","MNE","Cetinje, Montenegro","Herceg Novi, Montenegro",26,1158,"http://www.wtatennis.com/players/player/16952/title/danka-kovinic"
"48","female",48,47,"Gasparyan, Margarita","Right",183,161,"1994-09-01","RUS","Moscow, Russia","Moscow, Russia",19,1157,"http://www.wtatennis.com/players/player/17390/title/margarita-gasparyan"
"49","female",49,48,"Cornet, Alizé","Right",173,139,"1990-01-22","FRA","Nice, France","Nice, France",25,1145,"http://www.wtatennis.com/players/player/11402/title/alize-cornet"
"50","female",50,49,"Giorgi, Camila","Right",168,119,"1991-12-30","ITA","Macerata, Italy","France",23,1145,"http://www.wtatennis.com/players/player/13793/title/camila-giorgi"
"51","female",51,45,"Garcia, Caroline","Right",177,134,"1993-10-16","FRA","Saint-Germain-en-Laye, France","Lyon, France",25,1135,"http://www.wtatennis.com/players/player/14542/title/caroline-garcia"
"52","female",52,50,"Lisicki, Sabine","Right",178,154,"1989-09-22","GER","Troisdorf, Germany","Bradenton, FL, USA",19,1126,"http://www.wtatennis.com/players/player/11771/title/sabine-lisicki"
"53","female",53,52,"Friedsam, Anna-Lena","Right",174,150,"1994-02-01","GER","Neuwied, Germany","Oberduerenbach, Germany",25,1119,"http://www.wtatennis.com/players/player/19065/title/anna-lena-friedsam"
"54","female",54,51,"Vesnina, Elena","Right",176,143,"1986-08-01","RUS","Lvov, Ukraine","Sochi, Russia",23,1104,"http://www.wtatennis.com/players/player/10548/title/elena-vesnina"
"55","female",55,53,"Putintseva, Yulia","Right",163,130,"1995-01-07","KAZ","Moscow, Russia","Moscow, Russia",28,1073,"http://www.wtatennis.com/players/player/16953/title/yulia-putintseva"
"56","female",56,55,"Watson, Heather","Right",170,138,"1992-05-19","GBR","Guernsey","Guernsey & Bradenton, FL, USA",23,1041,"http://www.wtatennis.com/players/player/16047/title/heather-watson"
"57","female",57,57,"Goerges, Julia","Right",NA,154,"1988-11-02","GER","Bad Oldesloe, Germany","Bad Oldesloe & Regensburg, Germany",22,1040,"http://www.wtatennis.com/players/player/12610/title/julia-goerges"
"58","female",58,58,"Flipkens, Kirsten","Right",165,121,"1986-01-10","BEL","Geel, Belgium","Mol, Belgium",24,1025,"http://www.wtatennis.com/players/player/9680/title/kirsten-flipkens"
"59","female",59,56,"McHale, Christina","Right",170,137,"1992-05-11","USA","Teaneck, NJ, USA","Englewood Cliffs, NJ, USA",28,1020,"http://www.wtatennis.com/players/player/14078/title/christina-mchale"
"60","female",60,59,"Allertova, Denisa","Right",180,143,"1993-03-07","CZE","Prague, Czech Republic","Prague, Czech Republic",19,1014,"http://www.wtatennis.com/players/player/15601/title/denisa-allertova"
"61","female",61,65,"Hibino, Nao","Right",NA,NA,"1994-11-28","JPN","Aichi, Japan","Aichi, Japan",31,1010,"http://www.wtatennis.com/players/player/20862/title/nao-hibino"
"62","female",62,61,"Zhang, Shuai","Right",177,143,"1989-01-21","CHN","Tianjin, China","Tianjin, China",26,993,"http://www.wtatennis.com/players/player/11069/title/shuai-zhang"
"63","female",63,62,"Puig, Monica","Right",170,140,"1993-09-27","PUR","San Juan, Puerto Rico","Miami, FL, USA",25,990,"http://www.wtatennis.com/players/player/17033/title/monica-puig"
"64","female",64,63,"Zheng, Saisai","Right",170,137,"1994-02-05","CHN","Shaanxi, China","Guangzhou, China",29,990,"http://www.wtatennis.com/players/player/15339/title/saisai-zheng"
"65","female",65,64,"Lepchenko, Varvara","Left",180,159,"1986-05-21","USA","Tashkent, Uzbekistan","Allentown, PA, USA",23,982,"http://www.wtatennis.com/players/player/4939/title/varvara-lepchenko"
"66","female",66,66,"Bondarenko, Kateryna","Right",175,132,"1986-08-08","UKR","Kryvyi Rig, Ukraine","Kiev, Ukraine",26,973,"http://www.wtatennis.com/players/player/1078/title/kateryna-bondarenko"
"67","female",67,67,"Falconi, Irina","Right",163,135,"1990-05-04","USA","Portoviejo, Ecuador","West Palm Beach, FL, USA",29,965,"http://www.wtatennis.com/players/player/13733/title/irina-falconi"
"68","female",68,68,"Barthel, Mona","Right",185,152,"1990-07-11","GER","Bad Segeberg, Germany","Neumünster, Germany",24,965,"http://www.wtatennis.com/players/player/14516/title/mona-barthel"
"69","female",69,69,"Larsson, Johanna","Right",174,146,"1988-08-17","SWE","Boden, Sweden","Helsingborg, Sweden",25,963,"http://www.wtatennis.com/players/player/10884/title/johanna-larsson"
"70","female",70,70,"Van Uytvanck, Alison","Right",173,139,"1994-03-26","BEL","Vilvoorde, Belgium","Grimbergen, Belgium",21,934,"http://www.wtatennis.com/players/player/17132/title/alison-van-uytvanck"
"71","female",71,54,"Brengle, Madison","Right",168,130,"1990-04-03","USA","Dover, Delaware, USA","Dover, Delaware, USA",28,930,"http://www.wtatennis.com/players/player/16024/title/madison-brengle"
"72","female",72,72,"Knapp, Karin","Right",180,159,"1987-06-28","ITA","Brunico, Italy","Lutago, Italy",18,898,"http://www.wtatennis.com/players/player/10617/title/karin-knapp"
"73","female",73,73,"Rybarikova, Magdalena","Right",180,143,"1988-10-04","SVK","Piestany, Slovakia","Bratislava, Slovakia",22,890,"http://www.wtatennis.com/players/player/11827/title/magdalena-rybarikova"
"74","female",74,74,"Gibbs, Nicole","Right",168,NA,"1993-03-03","USA","Cincinnati, OH, USA","Santa Monica, CA, USA",27,889,"http://www.wtatennis.com/players/player/14431/title/nicole-gibbs"
"75","female",75,75,"Lucic-Baroni, Mirjana","Right",181,145,"1982-03-09","CRO","Dortmund, Germany","Sarasota, FL, USA",26,885,"http://www.wtatennis.com/players/player/4838/title/mirjana-lucic-baroni"
"76","female",76,76,"Arruabarrena, Lara","Right",166,128,"1992-03-20","ESP","San Sebastián, Spain","Barcelona, Spain",25,868,"http://www.wtatennis.com/players/player/14448/title/lara-arruabarrena"
"77","female",77,77,"Konjuh, Ana","Right",174,143,"1997-12-27","CRO","Dubrovnik, Croatia","Dubai, UAE",20,844,"http://www.wtatennis.com/players/player/21432/title/ana-konjuh"
"78","female",78,81,"Hsieh, Su-Wei","Right",169,126,"1986-01-04","TPE","Kaohsiung, Chinese Taipei","Taipei, Chinese Taipei",24,825,"http://www.wtatennis.com/players/player/9419/title/su-wei-hsieh"
"79","female",79,79,"Wang, Qiang","Right",172,132,"1992-01-14","CHN","Tianjin, China","Tianjin, China",30,824,"http://www.wtatennis.com/players/player/13622/title/qiang-wang"
"80","female",80,80,"Broady, Naomi","Right",189,163,"1990-02-28","GBR","Stockport, England","Stockport, England",32,824,"http://www.wtatennis.com/players/player/13152/title/naomi-broady"
"81","female",81,78,"Kontaveit, Anett","Right",174,143,"1995-12-24","EST","Tallinn, Estonia","Tallinn, Estonia",21,816,"http://www.wtatennis.com/players/player/17980/title/anett-kontaveit"
"82","female",82,118,"Buyukakcay, Cagla","Right",172,128,"1989-09-28","TUR","Adana, Turkey","Istanbul, Turkey",32,794,"http://www.wtatennis.com/players/player/11570/title/cagla-buyukakcay"
"83","female",83,84,"Nara, Kurumi","Right",155,117,"1991-12-30","JPN","Osaka, Japan","Hyogo, Japan",30,780,"http://www.wtatennis.com/players/player/13540/title/kurumi-nara"
"84","female",84,86,"Pereira, Teliana","Right",168,137,"1988-07-20","BRA","Santana do Ipanema, Brazil","Curitiba, Brazil",23,770,"http://www.wtatennis.com/players/player/10937/title/teliana-pereira"
"85","female",85,82,"Witthoeft, Carina","Right",176,150,"1995-02-16","GER","Hamburg, Germany","Hamburg, Germany",32,760,"http://www.wtatennis.com/players/player/16685/title/carina-witthoeft"
"86","female",86,96,"Sevastova, Anastasija","Right",169,143,"1990-04-13","LAT","Liepaja, Latvia","Vienna, Austria",26,760,"http://www.wtatennis.com/players/player/13196/title/anastasija-sevastova"
"87","female",87,83,"Mattek-Sands, Bethanie","Right",168,145,"1985-03-23","USA","Rochester, MN, USA","Phoenix, AZ, USA",17,758,"http://www.wtatennis.com/players/player/5667/title/bethanie-mattek-sands"
"88","female",88,87,"Shvedova, Yaroslava","Right",180,154,"1987-09-12","KAZ","Moscow, Russia","Astana, Kazakhstan",24,754,"http://www.wtatennis.com/players/player/10462/title/yaroslava-shvedova"
"89","female",89,88,"Schiavone, Francesca","Right",166,132,"1980-06-23","ITA","Milan, Italy","Milan, Italy",24,750,"http://www.wtatennis.com/players/player/7820/title/francesca-schiavone"
"90","female",90,89,"Riske, Alison","Right",175,145,"1990-07-03","USA","Pittsburgh, PA, USA","Nashville, TN, USA",27,747,"http://www.wtatennis.com/players/player/12091/title/alison-riske"
"91","female",91,91,"Hercog, Polona","Right",182,154,"1991-01-20","SLO","Maribor, Slovenia","Monaco, Monaco",27,730,"http://www.wtatennis.com/players/player/13179/title/polona-hercog"
"92","female",92,92,"Osaka, Naomi","Right",180,152,"1997-10-16","JPN","Osaka, Japan","",21,723,"http://www.wtatennis.com/players/player/20431/title/naomi-osaka"
"93","female",93,97,"Pironkova, Tsvetana","Right",180,143,"1987-09-13","BUL","Plovdiv, Bulgaria","Plovdiv, Bulgaria",23,717,"http://www.wtatennis.com/players/player/10365/title/tsvetana-pironkova"
"94","female",94,85,"Diyas, Zarina","Right",172,141,"1993-10-18","KAZ","Almaty, Kazakhstan","Almaty, Kazakhstan",27,716,"http://www.wtatennis.com/players/player/14837/title/zarina-diyas"
"95","female",95,93,"Vekic, Donna","Right",179,141,"1996-06-28","CRO","Osijek, Croatia","Monte Carlo, Monaco",29,716,"http://www.wtatennis.com/players/player/18104/title/donna-vekic"
"96","female",96,90,"Pliskova, Kristyna","Left",184,161,"1992-03-21","CZE","Louny, Czech Republic","Prague, Czech Republic",28,711,"http://www.wtatennis.com/players/player/13185/title/kristyna-pliskova"
"97","female",97,94,"Bertens, Kiki","Right",182,163,"1991-12-10","NED","Wateringen, Netherlands","Wateringen, Netherlands",26,711,"http://www.wtatennis.com/players/player/13772/title/kiki-bertens"
"98","female",98,95,"Dulgheru, Alexandra","Right",172,134,"1989-05-30","ROU","Bucharest, Romania","Bucharest, Romania",23,710,"http://www.wtatennis.com/players/player/11957/title/alexandra-dulgheru"
"99","female",99,99,"Sasnovich, Aliaksandra","Right",174,132,"1994-03-22","BLR","Minsk, Belarus","Minsk, Belarus",26,697,"http://www.wtatennis.com/players/player/17071/title/aliaksandra-sasnovich"
"100","female",100,100,"Duque-Mariño, Mariana","Right",169,137,"1989-08-12","COL","Bogotá, Colombia","Bogotá, Colombia",25,694,"http://www.wtatennis.com/players/player/11819/title/mariana-duque-marino"
"101","female",101,98,"Govortsova, Olga","Right",182,148,"1988-08-23","BLR","Pinsk, Belarus","Minsk, Belarus",21,692,"http://www.wtatennis.com/players/player/10569/title/olga-govortsova"
"102","female",102,101,"Parmentier, Pauline","Right",175,135,"1986-01-31","FRA","Cucq, France","Paris, France",28,691,"http://www.wtatennis.com/players/player/6673/title/pauline-parmentier"
"103","female",103,102,"Jovanovski, Bojana","Right",175,143,"1991-12-31","SRB","Belgrade, Serbia","Belgrade, Serbia",23,687,"http://www.wtatennis.com/players/player/13564/title/bojana-jovanovski"
"104","female",104,103,"Linette, Magda","Right",171,130,"1992-02-12","POL","Poznan, Poland","Poznan, Poland",27,687,"http://www.wtatennis.com/players/player/14283/title/magda-linette"
"105","female",105,116,"Voegele, Stefanie","Right",170,132,"1990-03-10","SUI","Leuggern, Switzerland","Leuggern, Switzerland",34,645,"http://www.wtatennis.com/players/player/11598/title/stefanie-voegele"
"106","female",106,104,"Crawford, Samantha","Right",188,170,"1995-02-18","USA","Atlanta, GA, USA","Tamarac, FL, USA",32,645,"http://www.wtatennis.com/players/player/19250/title/samantha-crawford"
"107","female",107,105,"Maria, Tatjana","Right",172,137,"1987-08-08","GER","Bad Saulgau, Germany","Palm Beach, FL, USA",32,639,"http://www.wtatennis.com/players/player/9762/title/tatjana-maria"
"108","female",108,106,"Tomljanovic, Ajla","Right",180,148,"1993-05-07","CRO","Zagreb, Croatia","Brisbane, Australia",19,619,"http://www.wtatennis.com/players/player/14384/title/ajla-tomljanovic"
"109","female",109,107,"Rogers, Shelby","Right",175,155,"1992-10-13","USA","Mount Pleasant, SC, USA","Charleston, SC, USA",21,609,"http://www.wtatennis.com/players/player/16573/title/shelby-rogers"
"110","female",110,113,"Mitu, Andreea","Right",175,132,"1991-09-22","ROU","Bucharest, Romania","Bucharest, Romania",28,605,"http://www.wtatennis.com/players/player/13255/title/andreea-mitu"
"111","female",111,108,"Domínguez Lino, Lourdes","Right",163,133,"1981-03-31","ESP","Pontevedra, Spain","Barcelona, Spain",26,602,"http://www.wtatennis.com/players/player/2029/title/lourdes-dominguez-lino"
"112","female",112,109,"Davis, Lauren","Right",157,121,"1993-10-09","USA","Gates Mills, OH, USA","Boca Raton, FL, USA",27,597,"http://www.wtatennis.com/players/player/16533/title/lauren-davis"
"113","female",113,110,"Siniakova, Katerina","Right",174,152,"1996-05-10","CZE","Hradec Kralove, Czech Republic","Hradec Kralove, Czech Republic",25,591,"http://www.wtatennis.com/players/player/20904/title/katerina-siniakova"
"114","female",114,111,"Kulichkova, Elizaveta","Right",179.5,121,"1996-04-12","RUS","Novosibirsk, Russia","Pattaya City, Thailand",27,584,"http://www.wtatennis.com/players/player/19754/title/elizaveta-kulichkova"
"115","female",115,112,"Hradecka, Lucie","Right",177,159,"1985-05-21","CZE","Prague, Czech Republic","Prague, Czech Republic",23,578,"http://www.wtatennis.com/players/player/10157/title/lucie-hradecka"
"116","female",116,114,"Tatishvili, Anna","Right",171,137,"1990-02-03","USA","Tbilisi, Georgia","Boca Raton, FL, USA",35,575,"http://www.wtatennis.com/players/player/12202/title/anna-tatishvili"
"117","female",117,129,"Kozlova, Kateryna","Right",175,137,"1994-02-20","UKR","Nikolayev, Ukraine","Moscow, Russia",19,566,"http://www.wtatennis.com/players/player/15789/title/kateryna-kozlova"
"118","female",118,127,"Sakkari, Maria","Right",172,137,"1995-07-25","GRE","Athens, Greece","Athens, Greece",31,543,"http://www.wtatennis.com/players/player/17826/title/maria-sakkari"
"119","female",119,115,"Rodina, Evgeniya","Right",170,132,"1989-02-04","RUS","Moscow, Russia","Moscow, Russia",31,537,"http://www.wtatennis.com/players/player/11831/title/evgeniya-rodina"
"120","female",120,117,"Koukalova, Klara","Right",166,121,"1982-02-24","CZE","Prague, Czech Republic","Prague, Czech Republic",28,531,"http://www.wtatennis.com/players/player/4407/title/klara-koukalova"
"121","female",121,131,"Peterson, Rebecca",NA,NA,NA,"1995-08-06","SWE","","",27,530,"http://www.wtatennis.com/players/player/17049/title/rebecca-peterson"
"122","female",122,119,"Han, Xinyun","Left",172,154,"1990-05-30","CHN","Jin Zhou, China","Hang Zhou, China",30,513,"http://www.wtatennis.com/players/player/11882/title/xinyun-han"
"123","female",123,120,"Krunic, Aleksandra","Right",163,117,"1993-03-15","SRB","Moscow, Russia","Belgrade, Serbia",25,511,"http://www.wtatennis.com/players/player/15395/title/aleksandra-krunic"
"124","female",124,122,"Paszek, Tamira","Right",165,132,"1990-12-06","AUT","Dornbirn, Austria","Dornbirn, Austria",30,505,"http://www.wtatennis.com/players/player/12273/title/tamira-paszek"
"125","female",125,137,"Kucova, Kristina","Right",163,130,"1990-05-23","SVK","Bratislava, Slovakia","Bratislava, Slovakia",26,498,"http://www.wtatennis.com/players/player/11919/title/kristina-kucova"
"126","female",126,123,"Duan, Ying-Ying","Right",186,185,"1989-07-03","CHN","Tianjin, China","Tianjin, China",25,494,"http://www.wtatennis.com/players/player/13684/title/ying-ying-duan"
"127","female",127,124,"Soler-Espinosa, Sílvia","Right",169,134,"1987-11-19","ESP","Elche, Spain","Elche, Spain",28,493,"http://www.wtatennis.com/players/player/10789/title/silvia-soler-espinosa"
"128","female",128,125,"Cepelova, Jana","Right",168,132,"1993-05-29","SVK","Kosice, Slovakia","Kosice, Slovakia",26,491,"http://www.wtatennis.com/players/player/15824/title/jana-cepelova"
"129","female",129,126,"Ozaki, Risa",NA,NA,NA,"1994-04-10","JPN","","",29,489,"http://www.wtatennis.com/players/player/18332/title/risa-ozaki"
"130","female",130,128,"Radwanska, Urszula","Right",177,126,"1990-12-07","POL","Ahaus, Germany","Krakow, Poland",20,467,"http://www.wtatennis.com/players/player/12364/title/urszula-radwanska"
"131","female",131,138,"Cirstea, Sorana","Right",176,130,"1990-04-07","ROU","Bucharest, Romania","Targoviste, Romania",20,466,"http://www.wtatennis.com/players/player/11720/title/sorana-cirstea"
"132","female",132,130,"Golubic, Viktorija","Right",169,141,"1992-10-16","SUI","Zürich, Switzerland","Zürich, Switzerland",24,458,"http://www.wtatennis.com/players/player/15349/title/viktorija-golubic"
"133","female",133,121,"Chirico, Louisa","Right",175,140,"1996-05-16","USA","Morristown, NJ, USA","Westchester, NY, USA",26,455,"http://www.wtatennis.com/players/player/20807/title/louisa-chirico"
"134","female",134,135,"Tig, Patricia Maria","Right",NA,NA,"1994-07-27","ROU","","",30,438,"http://www.wtatennis.com/players/player/16259/title/patricia-maria-tig"
"135","female",135,133,"Wang, Yafan",NA,NA,NA,"1994-04-30","CHN","","",30,434,"http://www.wtatennis.com/players/player/16726/title/yafan-wang"
"136","female",136,134,"Cetkovska, Petra","Right",172,141,"1985-02-08","CZE","Prostejov, Czech Republic","Prostejov, Czech Republic",12,433,"http://www.wtatennis.com/players/player/1687/title/petra-cetkovska"
"137","female",137,136,"Oprandi, Romina","Right",NA,146,"1986-03-29","SUI","Jegenstorf, Switzerland","Bern, Switzerland",24,432,"http://www.wtatennis.com/players/player/6151/title/romina-oprandi"
"138","female",138,132,"Martic, Petra","Right",181,139,"1991-01-19","CRO","Split, Croatia","Split, Croatia",19,418,"http://www.wtatennis.com/players/player/12929/title/petra-martic"
"139","female",139,139,"Hogenkamp, Richel","Right",168,148,"1992-04-16","NED","Doetinchem, Netherlands","Doetinchem, Netherlands",28,403,"http://www.wtatennis.com/players/player/16354/title/richel-hogenkamp"
"140","female",140,140,"Kumkhum, Luksika","Right",167,148,"1993-07-21","THA","Chantraburi, Thailand","Chantraburi, Thailand",21,403,"http://www.wtatennis.com/players/player/16107/title/luksika-kumkhum"
"141","female",141,141,"Torró-Flor, María-Teresa","Right",178,137,"1992-05-02","ESP","Villena, Spain","Villena, Spain",16,397,"http://www.wtatennis.com/players/player/13943/title/maria-teresa-torro-flor"
"142","female",142,143,"Panova, Alexandra","Right",179,139,"1989-03-02","RUS","Krasnodar, Russia","Moscow, Russia",24,396,"http://www.wtatennis.com/players/player/11245/title/alexandra-panova"
